username,phone_number,email,password
Anil,9655539885,parasite@outlook.com,rl1D&X*z,
Arjun,8555253149,munge@live.com,10ESu&SA,
harihar,9455577220,farber@icloud.com,iE0MSP*D,
neeraj,9555584822, pkilab@att.net,f1_oY84H,
rahul ,7555857116,munjal@hotmail.com,4zKU802z,
rohit,9555549722,solomon@outlook.com,4=rS8om-,
sameer,8555752464, emmanuel@icloud.com,bOV7-e41,
stephen,9955554084,gomoril.com,0Si35xR^,
vijay,7555418979,msherr@hotmail.com,3eG92BVW,
Yash,7555588196, attwood@gmail.com,c!R%$Iso,
